,0
ACIAD_RS15285,4.38389779616782
ACIAD_RS13445,3.3655943941329
ACIAD_RS14590,6.45362012833693
ACIAD_RS10395,4.43131603333594
ACIAD_RS13930,3.6153646250631
ACIAD_RS03380,2.93759317384648
ACIAD_RS02625,2.54352960180184
ACIAD_RS05780,3.41094364324582
ACIAD_RS08300,2.54178256032304
ACIAD_RS16575,2.26730351396059
ACIAD_RS06790,2.4574130316897
ACIAD_RS07770,2.95438961044265
ACIAD_RS11670,2.01751065001547
ACIAD_RS16290,2.55604244260127
ACIAD_RS07190,2.37008888478915
ACIAD_RS14520,4.78760224305497
ACIAD_RS01930,2.94014258992522
ACIAD_RS02330,3.32995765222636
ACIAD_RS11190,2.68244407096655
ACIAD_RS13595,2.58077112713023
ACIAD_RS07425,3.63568543781893
ACIAD_RS15670,3.28175158163912
ACIAD_RS11795,3.5274124502092
ACIAD_RS11985,2.43966438441819
ACIAD_RS02370,2.31935373672646
ACIAD_RS10275,3.75435493638976
ACIAD_RS06660,3.75292694062089
ACIAD_RS00775,2.29634713066894
ACIAD_RS16800,3.10481252376782
ACIAD_RS11600,2.80075736335978
ACIAD_RS16415,4.23874585637452
ACIAD_RS15925,2.12897817066154
ACIAD_RS09545,2.88521923402475
ACIAD_RS00455,2.31982164433017
ACIAD_RS16610,2.18989536554384
ACIAD_RS00910,2.03738816784415
ACIAD_RS06120,2.9973501266388
ACIAD_RS02660,2.02728974266763
ACIAD_RS13000,3.22158486587026
ACIAD_RS10390,4.4753847128197
ACIAD_RS11185,2.4093042549301
ACIAD_RS02495,3.31223443562699
ACIAD_RS06365,3.4354443325688
ACIAD_RS12890,3.84197063193526
ACIAD_RS08610,2.79287561013733
ACIAD_RS02815,2.28463615096034
ACIAD_RS16950,2.91340958531019
ACIAD_RS02265,4.33083890085104
ACIAD_RS01625,3.25164863351883
ACIAD_RS07600,2.6192071893928
ACIAD_RS17065,4.50609754265112
ACIAD_RS01725,2.35619737392116
ACIAD_RS00240,2.10105600946271
ACIAD_RS10430,2.30154434486786
ACIAD_RS01915,3.24051538099072
ACIAD_RS16900,2.76266172428099
ACIAD_RS01585,2.50920130783191
ACIAD_RS14105,3.81537558070753
ACIAD_RS05530,2.50374929376887
ACIAD_RS00495,3.03332786995448
ACIAD_RS09685,3.1564822181213
ACIAD_RS03290,3.39244712446566
ACIAD_RS02710,4.18526828065372
ACIAD_RS06965,2.18288039189313
ACIAD_RS15675,4.17381071184252
ACIAD_RS10460,3.32145531007921
ACIAD_RS16895,5.20646384255275
ACIAD_RS12900,3.31085394824341
ACIAD_RS12660,2.10331327681577
ACIAD_RS14990,4.17743492091499
ACIAD_RS15650,4.63940344523504
ACIAD_RS13465,3.24003129823835
ACIAD_RS16905,2.23724794453656
ACIAD_RS11700,3.24345577700263
ACIAD_RS03285,2.96462083848912
ACIAD_RS09170,2.8176880741024
ACIAD_RS09220,3.53138800401715
ACIAD_RS14905,2.30526293268511
ACIAD_RS11420,2.91853232411226
ACIAD_RS07115,2.29732425102555
ACIAD_RS02120,2.30848301475921
ACIAD_RS11875,3.42663474626936
ACIAD_RS07400,3.31863408065143
ACIAD_RS09165,2.05824382853051
ACIAD_RS05400,3.35384672826414
ACIAD_RS04445,3.57596130015897
ACIAD_RS12235,2.45655776475619
ACIAD_RS11110,5.80915946094117
ACIAD_RS14080,2.19870367651716
ACIAD_RS01555,3.29361400710359
ACIAD_RS03430,4.10598685423844
ACIAD_RS14490,3.14562343336321
ACIAD_RS12205,3.61139950410892
ACIAD_RS10450,3.03200010995162
ACIAD_RS14910,4.75969804798785
ACIAD_RS04475,2.29288168854285
ACIAD_RS14500,2.61648389812623
ACIAD_RS16045,2.0204960338836
ACIAD_RS09360,2.15747645027169
ACIAD_RS17085,2.56146157437121
ACIAD_RS16970,4.54593960161384
ACIAD_RS04675,3.23259984054068
ACIAD_RS08040,4.31911846809714
ACIAD_RS01785,2.14449290923394
ACIAD_RS07870,2.96271787247505
ACIAD_RS03355,3.72029297445842
ACIAD_RS11945,2.02905309092249
ACIAD_RS16390,2.22554707474966
ACIAD_RS14740,2.9989361775869
ACIAD_RS02655,2.24177661894819
ACIAD_RS03370,3.89444177315227
ACIAD_RS08015,2.1702735450783
ACIAD_RS12260,3.00296217360043
ACIAD_RS04690,5.44124143650138
ACIAD_RS11445,3.04977420722147
ACIAD_RS06610,2.78986669758961
ACIAD_RS12255,2.53902588242564
ACIAD_RS07880,2.79043244934931
ACIAD_RS11230,3.01196542151673
ACIAD_RS09140,2.02047079665054
ACIAD_RS03085,2.76449339716411
ACIAD_RS03425,2.35190214814637
ACIAD_RS14305,2.33896790915946
ACIAD_RS09945,2.34443895658669
ACIAD_RS15225,2.09521078766698
ACIAD_RS04400,2.67498710516627
ACIAD_RS10335,2.54577400559111
ACIAD_RS08070,2.38037019363298
ACIAD_RS01275,2.01399000479246
ACIAD_RS09250,3.56799441907431
ACIAD_RS10490,2.86851111255923
ACIAD_RS13540,2.18973690231764
ACIAD_RS15730,2.18504738643146
ACIAD_RS15280,4.74237146626662
ACIAD_RS13455,3.86593337997158
ACIAD_RS12980,2.89219084658782
ACIAD_RS13230,2.07261782365055
ACIAD_RS01675,2.21474509710695
ACIAD_RS11055,2.99172642496476
ACIAD_RS14575,4.34938846551935
ACIAD_RS13600,3.32786002044255
ACIAD_RS01965,3.03717027223091
ACIAD_RS00425,2.09682755295713
ACIAD_RS09210,3.95950782643494
ACIAD_RS12240,2.29206203433394
ACIAD_RS13490,2.74493112794076
ACIAD_RS07215,2.6004708008064
ACIAD_RS08175,3.55641079354399
ACIAD_RS07830,2.65369702022794
ACIAD_RS16200,2.34677446509238
ACIAD_RS09690,2.91949083520769
ACIAD_RS14495,3.4396944439499
ACIAD_RS09990,3.83514353982396
ACIAD_RS06825,2.10436617607481
ACIAD_RS03350,3.99203186081769
ACIAD_RS01450,4.40473750545847
ACIAD_RS07895,3.26989734553329
ACIAD_RS06625,3.18807380244876
ACIAD_RS03830,2.61879168087315
ACIAD_RS01695,2.69759815644045
ACIAD_RS04470,2.09991069342074
ACIAD_RS09205,2.34144595801511
ACIAD_RS00445,2.95967594619066
ACIAD_RS10920,2.0265261121388
ACIAD_RS03560,2.31036717213247
ACIAD_RS11020,2.84636949632122
ACIAD_RS11675,2.49027070274954
ACIAD_RS07925,2.30357907200145
ACIAD_RS15840,4.17882404997862
ACIAD_RS03150,2.18511047018206
ACIAD_RS05915,2.83450267928696
ACIAD_RS10405,3.86456180109606
ACIAD_RS09505,4.20199981069412
ACIAD_RS00500,2.14097595181052
ACIAD_RS08405,2.07010763313463
ACIAD_RS09510,5.03600295090484
ACIAD_RS11695,4.15098487102224
ACIAD_RS16375,2.3603333299255
ACIAD_RS03215,2.26233241582235
ACIAD_RS12335,3.11807343045734
ACIAD_RS08165,2.67862790833301
ACIAD_RS11415,3.54073392842938
ACIAD_RS04285,2.67147303207271
ACIAD_RS17080,2.72952649785378
ACIAD_RS05555,2.93006473565241
ACIAD_RS01420,2.29027943505539
ACIAD_RS16010,2.18866026658765
ACIAD_RS02260,2.10739554151827
ACIAD_RS01475,2.29608896970296
ACIAD_RS05875,2.53183053655922
ACIAD_RS16635,2.02670985749797
ACIAD_RS15750,2.0022673857727
ACIAD_RS01490,6.11942410988718
ACIAD_RS12210,2.82812649121833
ACIAD_RS00540,3.40187652845763
ACIAD_RS00210,3.13857354625692
ACIAD_RS11160,3.17754515042988
ACIAD_RS00535,5.00267224592086
ACIAD_RS00985,2.00218158883991
ACIAD_RS13735,3.81435642131432
ACIAD_RS04425,2.41313182896354
ACIAD_RS06645,2.01135571905067
ACIAD_RS10075,2.28309001693063
ACIAD_RS12725,2.56267915405318
ACIAD_RS16285,6.50564014067876
ACIAD_RS14560,4.81847346159569
ACIAD_RS03120,2.34000174833538
ACIAD_RS06910,2.17235888765499
ACIAD_RS16620,2.19454030086609
ACIAD_RS07865,3.0757403952978
ACIAD_RS02445,2.96373669282316
ACIAD_RS08530,2.03681642205784
ACIAD_RS11165,2.9878744880793
ACIAD_RS07950,2.22930238908126
ACIAD_RS16605,2.16504457919227
ACIAD_RS15105,6.92565669723926
ACIAD_RS12325,2.63522807997933
ACIAD_RS01735,2.4452553534638
ACIAD_RS02435,3.72049877547132
ACIAD_RS05685,2.23912857951519
ACIAD_RS02650,2.14034695775512
ACIAD_RS12435,4.28044012343371
ACIAD_RS02255,2.03180598530768
ACIAD_RS08215,2.89975740511864
ACIAD_RS16325,3.1597826053493
ACIAD_RS04705,2.37797939602117
ACIAD_RS15805,2.21139733361347
ACIAD_RS12960,2.22108469934836
ACIAD_RS07440,3.04051862559648
ACIAD_RS14465,5.19911012448981
ACIAD_RS06160,2.02286742530183
ACIAD_RS16655,4.75404634843235
ACIAD_RS10525,2.32706169661091
ACIAD_RS06110,3.29894093723284
ACIAD_RS07475,2.02911343199237
ACIAD_RS15935,3.71529253273674
ACIAD_RS06280,2.98009957737338
ACIAD_RS10320,3.5961824978228
ACIAD_RS11115,5.06389566484978
ACIAD_RS00565,4.29830148286262
ACIAD_RS08200,3.73160585644367
ACIAD_RS08455,2.47359323044745
ACIAD_RS04655,2.8464477792203
ACIAD_RS15300,2.44491092745774
ACIAD_RS10940,2.02316371648858
ACIAD_RS05610,3.59547464603991
ACIAD_RS05350,2.63670910259055
ACIAD_RS10095,3.3888615718152
ACIAD_RS01455,5.43567725610856
ACIAD_RS06620,2.56702292937184
ACIAD_RS04460,2.4474623564631
ACIAD_RS01540,3.44372032096515
ACIAD_RS00510,3.13757876225746
ACIAD_RS01380,2.14501120390452
ACIAD_RS07360,4.7913158816849
ACIAD_RS04920,2.22285882217726
ACIAD_RS05390,2.10285307796756
ACIAD_RS01465,3.21445451471913
ACIAD_RS03980,2.69024479653395
ACIAD_RS04270,2.40194938893019
ACIAD_RS14970,3.45823559839919
ACIAD_RS05455,3.55455690772474
ACIAD_RS10805,2.1292975536994
ACIAD_RS03635,2.56512884628637
ACIAD_RS15115,2.77038303305684
ACIAD_RS17110,2.59437628760506
ACIAD_RS05905,3.4910990547659
ACIAD_RS09285,2.16080180886494
ACIAD_RS14995,4.27378718179896
ACIAD_RS08355,2.01344009743552
ACIAD_RS16000,2.46624440978297
ACIAD_RS07540,2.05539406199267
ACIAD_RS14510,4.21524571246109
ACIAD_RS15025,2.6309591589695
ACIAD_RS15735,3.02247418508102
ACIAD_RS01805,2.80866269978896
ACIAD_RS16470,2.71596933220264
ACIAD_RS16525,3.34963084392865
ACIAD_RS07920,2.26888349599451
ACIAD_RS08160,2.43976929995576
ACIAD_RS12225,3.36535952784782
ACIAD_RS12670,2.6867723946614
ACIAD_RS08440,2.31790120951495
ACIAD_RS04820,2.1184903121312
ACIAD_RS10380,3.1794091075502
ACIAD_RS04950,2.82574813931786
ACIAD_RS15210,2.59535287677504
ACIAD_RS03295,2.13970041519282
ACIAD_RS00830,4.09330660544796
ACIAD_RS09365,2.69574508622545
ACIAD_RS13830,2.31150274506422
ACIAD_RS07235,2.19276072403089
ACIAD_RS02935,2.36542966526333
ACIAD_RS12145,2.67495267058155
ACIAD_RS11260,2.02506803429241
ACIAD_RS06330,2.02392632615447
ACIAD_RS16535,2.62389600455549
ACIAD_RS08275,2.63550432675958
ACIAD_RS10175,2.79588851996259
ACIAD_RS06325,2.40391148805174
ACIAD_RS14010,2.63696393076379
ACIAD_RS07450,2.01274846677571
ACIAD_RS11750,2.65131660341113
ACIAD_RS13700,2.84492580499935
ACIAD_RS01945,2.34881573391253
ACIAD_RS03490,2.36212755200431
ACIAD_RS05515,2.07516791098891
ACIAD_RS13865,2.57326425232828
ACIAD_RS12215,3.27586645109384
ACIAD_RS02905,2.83375067415754
ACIAD_RS12995,3.48505444251205
ACIAD_RS07850,3.0462858410966
ACIAD_RS14525,5.11172782844997
ACIAD_RS00865,4.65822031813278
ACIAD_RS14555,5.16197806822696
ACIAD_RS04930,3.16372926745794
