"","LB0R1","LB0R2","LB0R3","LB1R1","LB1R2","LB1R3","M9LQR1","M9LQR2","M9LQR3","M9SFR1","M9SFR2","M9SFR3"
"ACIAD_RS14375",59.3569034756202,54.4493196408429,45.5948280722587,47.9648420621502,63.6844588657038,39.4446214149012,48.8365309919479,24.3108705548868,33.0242397054409,35.8538784314497,40.0832737451627,32.0263335846229
"ACIAD_RS14385",7.52411452507862,8.73243805560688,11.7243843614379,4.49670394332658,12.3830892238868,6.85993415911325,7.71103120925493,10.8048313577275,16.5121198527205,6.89497662143263,13.9825373529637,6.30439637492577
"ACIAD_RS14390",205.659130352149,196.736692664555,179.773893542048,127.406611727586,165.402691776203,241.812679108742,1005.00440093956,734.728532325467,676.996913961539,268.352490106158,305.751483451474,272.60209925179
"ACIAD_RS14395",141.286150526476,143.828391504113,118.546552987872,103.424190696511,160.095653537394,100.326537077031,5032.73303590705,6126.33937983147,7126.63092843415,11497.2356167065,13359.8483561784,7934.71327748157
"ACIAD_RS14415",486.559405955084,402.719496211517,466.369955710531,631.037453380163,476.748935119644,421.028459015576,308.441248370197,302.535278016369,323.637549113321,264.491303198156,280.582916216139,254.949789401998
"ACIAD_RS14420",886.17348850926,1148.5724407257,893.658630216269,1134.66829503274,1051.67807765725,542.792290339836,287.878498478851,310.638901534664,326.939973083865,308.619153575325,259.143025608261,228.723500482307
"ACIAD_RS14425",249.131792052603,290.225147142229,227.974140361293,230.830802424098,255.62234183595,174.928321057388,264.745404851086,237.706289870004,214.657558085366,105.079443710633,136.09669690218,118.774827703601
"ACIAD_RS14430",185.594824951939,141.260027370111,177.168474795062,224.835197166329,190.168870223977,216.945417781957,275.026779796759,367.364266162733,326.939973083865,657.504970619816,647.857564020653,536.378043578684
"ACIAD_RS14435",43.4726617004542,38.5254620100303,42.9894093252724,20.9846184021907,37.1492676716605,49.7345226535711,115.665468138824,108.048313577275,115.584838969043,211.81368181041,198.552030412085,164.418657458064
"ACIAD_RS14440",96.1414633760046,71.9141957520566,96.4004936384897,128.905513042029,89.3351436866123,114.903897165147,400.973622881256,494.321034616031,455.734507935085,542.496760574319,535.065096040079,373.7246171056
"ACIAD_RS14445",10.0321527001048,18.4922217648146,14.3298031084241,8.99340788665316,9.72957010448252,8.57491769889156,12.8517186820915,5.40241567886373,13.2096958821764,13.7899532428653,13.0503681960995,20.1740683997625
"ACIAD_RS14450",20.9003181252184,34.9297522224275,50.8056655662311,34.4747302321705,38.0337740447953,63.4543909717976,46.2661872555296,45.9205332703417,16.5121198527205,72.5351540574713,61.5231643530404,91.7920112189192
"ACIAD_RS14455",15.0482290501572,15.4101848040121,22.1460593493828,16.4879144588641,18.5746338358303,18.8648189375614,56.5475622012028,67.5301959857966,49.5363595581614,55.987210166033,63.3875026667689,50.1829951444091
"ACIAD_RS14460",250.803817502621,293.307184103031,291.806899662455,269.802236599595,303.385685985228,306.982053620318,994.723025993886,888.697379173083,927.98113572289,581.660227784057,583.53789219702,503.59518242907
"ACIAD_RS14465",591.897009306185,482.85245719238,518.478330650255,990.77376884629,582.889699895817,400.448656538236,17.9924061549282,18.908454876023,16.5121198527205,60.1241961388925,32.6259204902487,45.8960056094596
"ACIAD_RS14470",2768.03813250392,2599.69817643685,2744.80864994997,3540.40490471246,2856.95558522532,2282.64309144493,290.448842215269,229.602666351708,214.657558085366,463.066629895415,271.261224647497,386.585585710448
"ACIAD_RS14475",3083.21492983222,2850.88418874225,2843.81456233545,3463.96093767591,3164.76380307622,2488.44111621833,110.524780665987,99.944690058979,89.1654472046905,512.986260634588,359.8172945496,505.864765124044
"ACIAD_RS14480",1757.29874796836,1461.39919224715,1619.26775125193,2608.08828712942,1391.328524941,1090.72953129901,30.8441248370197,54.0241567886373,23.1169677938086,309.446550769896,253.550010667076,339.933052535997
"ACIAD_RS14485",1774.01900246854,1557.45601085883,1857.66356660117,2389.24869522086,1829.15917964271,1620.65944509051,87.3916870382225,62.1277803069329,49.5363595581614,423.627363620821,317.869682490709,453.664363139658
"ACIAD_RS14490",297.62053010311,355.97526897268,312.650249638345,364.233019409453,283.042039403128,269.252415745195,41.125499782693,62.1277803069329,36.326663675985,39.1634672097373,42.8797812157555,29.7567508896496
"ACIAD_RS14495",5498.45569238245,5859.97960813902,5272.06483452659,5139.73260722228,6184.46856095835,5103.79101438026,506.357716074407,578.058477638419,445.827236023452,691.979853726979,607.77429027549,453.664363139658
"ACIAD_RS14500",1950.41768744538,1821.48384383423,1533.28893260138,2025.0156758114,1940.6069826577,1293.95508076274,293.019185951687,294.431654498073,277.403613525704,379.499513243652,357.020787079007,281.680430031683
"ACIAD_RS14505",81.9292470508561,61.6407392160486,49.502956192738,113.916499897607,71.6450162239168,44.5895720342361,2.57034373641831,16.2072470365912,3.30242397054409,11.3077616591495,11.186029882371,5.80004466493171
"ACIAD_RS14510",3333.18273460983,3113.37100323725,2708.33278749216,2600.59378055721,3673.35496762872,2510.73590223545,174.783374076445,183.682133081367,132.096958821764,431.90133556654,277.786408745546,305.132784546407
"ACIAD_RS14515",270.032110177822,247.076629690995,263.147293445607,592.066019204667,313.999762462845,178.358288136945,12.8517186820915,10.8048313577275,16.5121198527205,37.7844718854508,30.7615821765202,32.530685294617
"ACIAD_RS14520",1314.21200371373,1319.62549205024,1380.87193590269,2019.02007055363,1430.24680535893,1101.87692430757,56.5475622012028,43.2193254309098,66.0484794108819,156.653868838949,119.317652078624,157.10555766315
"ACIAD_RS14525",1656.97722096731,1645.8077370685,1658.34903245672,1597.82880119538,1735.40150409043,1253.65296757795,48.8365309919479,56.7253646280691,36.326663675985,181.751583740964,125.842836176674,182.827494872847
"ACIAD_RS14530",1164.56572593717,1111.58799719608,978.334739493321,1319.03315670913,1217.96527580658,808.614739005474,64.2585934104577,56.7253646280691,56.1412074992496,188.646560362397,108.131622196253,190.644946377755
"ACIAD_RS14535",2706.17319085328,2935.12653233751,2557.21850016696,2225.86845194666,2911.79498035968,2288.64553383416,154.220624185099,140.462807650457,118.887262939587,490.646536381146,339.309573098587,556.552111978447
"ACIAD_RS14540",661.28606548191,569.663164921649,758.176855372987,1304.04414356471,738.562821567537,543.649782109725,43.6958435191113,16.2072470365912,19.8145438232646,106.45843903492,96.9455923138819,134.661906568414
"ACIAD_RS14545",1605.98044474178,1485.02814227997,1649.23006684227,1752.21563658292,1699.1367427919,1459.45099235134,200.486811440628,143.164015489889,151.911502645028,421.69677016682,323.462697431894,533.856285028714
"ACIAD_RS14550",1662.82931004238,1452.66675419154,1746.93326985425,1939.5783008882,1611.57061185156,1169.61877412881,66.8289371468761,67.5301959857966,49.5363595581614,94.3232801811984,57.7944877255835,58.0004466493171
"ACIAD_RS14555",1221.41459123776,1109.53330588887,1162.01676115585,1295.05073567806,1409.90315877683,917.516193781397,53.9772184647845,16.2072470365912,29.7218157348968,53.5050185823172,53.1336419412622,36.0611472645754
"ACIAD_RS14560",1519.87113406588,1218.43194517056,1250.60099855338,1983.04643900702,1442.62989458282,803.469788386139,48.8365309919479,51.3229489492054,49.5363595581614,87.704102624623,69.9126867648187,67.5831291392042
"ACIAD_RS14565",3527.97369953686,3163.71094026369,3286.7357493231,3975.0862859007,3632.66767446452,2412.98184046809,92.5323745110591,110.749521416706,95.7702951457787,218.708658431843,145.418388470823,123.818344803542
"ACIAD_RS14570",528.360042205521,578.395602977256,515.872911903269,653.520973096796,505.053139059956,453.613146271364,12.8517186820915,13.5060391971593,9.90727191163228,42.1972569231677,17.7112139804207,27.9915199046704
"ACIAD_RS14575",313.504771878276,269.678234070212,306.136702770879,626.540749436837,320.191307074789,203.22554946373,17.9924061549282,16.2072470365912,26.4193917643527,25.3735139668721,11.186029882371,17.6523098497922
"ACIAD_RS14580",2956.14099563089,2612.02632428006,2485.56948462484,3757.74559530658,3050.66248094184,1859.04215711969,43.6958435191113,54.0241567886373,92.4678711752346,174.856607119531,111.86029882371,106.922562518741
"ACIAD_RS14585",374.533700803914,407.342551652721,371.272171445535,448.171493018216,362.647612985258,228.950302560405,10.2813749456732,16.2072470365912,23.1169677938086,36.9570746908789,24.2363980784705,30.0089267446467
"ACIAD_RS14590",1924.50129297011,2002.29667886798,1810.76602915541,2026.51457712585,2081.24349598613,1360.83943881409,15.4220624185099,18.908454876023,33.0242397054409,181.751583740964,102.538607255067,134.15755485842
"ACIAD_RS14595",3177.6843677582,3183.74418050891,2871.1714591788,3595.86425334682,3555.7156200018,2752.54858134419,30.8441248370197,35.1157019126142,39.6290876465291,324.063901207334,177.112139804207,240.575765667167
"ACIAD_RS14600",1174.59787863727,1093.60944825806,1145.08153930044,1806.17608390284,1341.79616804545,952.673356346853,10.2813749456732,13.5060391971593,13.2096958821764,133.210948326078,81.0987166471897,93.0528904939043
"ACIAD_RS14605",2.50803817502621,2.05469130720162,2.60541874698621,2.99780262888439,6.19154461194342,2.57247530966747,7.71103120925493,16.2072470365912,16.5121198527205,6.61917755657532,7.45735325491399,5.29569295493765
"ACIAD_RS14610",86.1093106758998,73.9688870592583,79.4652717830794,95.9296841243004,59.2619270000299,93.466602917918,95.1027182474775,86.4386508618197,79.2581752930582,94.874878310913,86.6917315883752,73.88752551413
"ACIAD_RS14615",247.459766602586,214.201568775769,239.698524722731,275.797841857364,210.512516806076,216.945417781957,395.83293540842,372.766681841597,363.26663675985,327.097690920764,368.206816961378,302.35885014144
"ACIAD_RS14620",18.3922799501922,17.4648761112138,10.4216749879448,13.4901118299797,15.0366083432912,12.0048847784482,33.414468573438,27.0120783943186,19.8145438232646,6.61917755657532,9.32169156864249,7.31309979491389
"ACIAD_RS14625",14.2122163251485,25.6836413400202,16.9352218554104,22.4835197166329,11.4985828507521,16.292343627894,41.125499782693,81.0362351829559,59.4436314697937,16.5479438914383,16.7790448235565,15.1305512998218
"ACIAD_RS14630",20.9003181252184,24.6562956864194,20.8433499758897,31.4769276032861,24.7661784477737,18.8648189375614,48.8365309919479,56.7253646280691,75.9557513225141,26.4767102263013,20.5077214510135,23.2001786597268
"ACIAD_RS14635",88.617348850926,81.6739794612643,117.243843614379,157.38463801643,79.6055735821297,101.18402884692,48.8365309919479,75.6338195040922,46.2339355876173,35.3022803017351,55.9301494118549,42.8698953494952
"ACIAD_RS14640",106.173616076109,82.7013251148651,83.3733999035587,83.9384736087628,100.833726537364,107.186471236145,346.996404416472,399.778760235916,392.988452494747,288.761620905599,328.123543216216,273.358626816781
"ACIAD_RS14645",132.926023276389,140.746354543311,148.508868578214,100.426388067627,119.408360373195,129.481257253263,239.041967486903,272.821991782618,260.891493672983,153.068480995804,147.282726784551,135.166258278408
"ACIAD_RS14650",80.2572216008386,90.4064175168712,109.427587373421,91.4329801809738,71.6450162239168,79.7467345996915,69.3992808832944,67.5301959857966,92.4678711752346,63.7095839820375,67.1161792942259,53.7134571143676
"ACIAD_RS14655",490.739469580128,495.69427786239,543.229808746624,671.507788870103,543.086913104752,499.917701845378,167.07234286719,172.877301723639,194.843014262101,233.050209804423,266.600378863175,247.13233789709
"ACIAD_RS14660",49.3247507755154,66.2637946572522,69.0435967951345,62.9538552065721,63.6844588657038,63.4543909717976,249.323342432576,240.407497709436,181.633318379925,100.942457737774,111.86029882371,113.731310603661
"ACIAD_RS14665",45.9806998754805,61.6407392160486,42.9894093252724,44.9670394332658,49.5323568955474,29.1547201762313,66.8289371468761,91.8410665406834,46.2339355876173,40.2666634691666,58.7266568824477,49.6786434344151
"ACIAD_RS14670",192.282926752009,180.299162206942,242.303943469717,293.78465763067,196.36041483592,209.227991852954,123.376499348079,116.15193709557,85.8630232341464,89.0830979489096,92.2847465295607,96.8355283188598
"ACIAD_RS14675",56.0128525755853,38.5254620100303,40.3839905782862,77.9428683509941,60.1464333731647,37.7296378751229,12.8517186820915,21.6096627154549,9.90727191163228,17.9269392157248,13.0503681960995,17.9044857047892
"ACIAD_RS14680",61.0289289256377,55.9903381212441,46.8975374457518,61.4549538921299,52.1858760149517,61.7394074320193,41.125499782693,35.1157019126142,26.4193917643527,52.401822322888,48.472796156941,58.2526225043141
"ACIAD_RS14685",158.006405026651,133.554934968105,196.709115397459,187.362664305274,128.253424104542,210.085483622843,105.384093193151,91.8410665406834,95.7702951457787,230.016420090993,215.331075235642,193.166704927726
"ACIAD_RS14690",66.8810180006988,50.3399370264397,96.4004936384897,112.417598583165,72.5295225970515,83.1767016792482,131.087530557334,105.347105737843,118.887262939587,78.0511353546174,95.0812540001534,79.6875701790617
"ACIAD_RS14695",76.0771579757949,74.9962327128591,71.6490155421207,65.9516578354565,77.8365608358602,76.3167675201349,56.5475622012028,62.1277803069329,66.0484794108819,50.1954298040295,38.2189354314342,41.356840219513
"ACIAD_RS14700",111.189692426162,103.761911013682,106.822168626435,190.360466934159,107.909777522443,86.6066687588048,136.22821803017,194.486964439094,142.004230733396,79.1543316140466,77.3700400197327,67.3309532842072
"ACIAD_RS14705",191.446914027,168.998360017333,148.508868578214,178.369256418621,158.326640791125,144.916109111267,169.642686603608,108.048313577275,132.096958821764,85.4977101057646,89.4882390589679,88.7659009589548
"ACIAD_RS14710",265.016033827769,223.961352484976,242.303943469717,233.828605052982,279.504013910589,244.38515441841,56.5475622012028,43.2193254309098,36.326663675985,171.822817406101,112.792467980574,196.19281518769
"ACIAD_RS14715",346.109268153617,258.891104707404,302.2285746504,439.178085131563,318.422294328519,348.999150344887,102.813749456732,118.853144935002,72.65332735197,202.988111734977,182.705154745393,199.723277157648
"ACIAD_RS14720",2669.38863095289,1886.72029283789,1848.54460098671,2468.69046488629,3608.78600238988,1651.52914880652,827.650683126696,664.497128500239,719.928425578612,1449.87568395485,1009.53919688398,1452.2807489279
"ACIAD_RS14725",1101.86477156151,1061.76173299644,1056.49730190291,798.914400597689,1245.38497337376,1243.36306633928,92.5323745110591,70.2314038252285,99.0727191163228,313.307737677899,283.379423686732,393.646509650365
