gene,tag,target_id,LB0R1,LB0R2,LB0R3,LB1R1,LB1R2,LB1R3,M9LQR1,M9LQR2,M9LQR3,M9SFR1,M9SFR2,M9SFR3
N/A,ACIAD1745,lcl|CR543861.1_cds_CAG68585.1_1598,24.4423,18.5285,22.1574,9.01973,9.66247,38.0375,7.97512,20.4542,12.1662,25.3574,24.6163,18.8102
N/A,ACIAD1746,lcl|CR543861.1_cds_CAG68586.1_1599,35.4702,70.4528,33.1879,71.1396,25.6393,11.4775,133.121,22.0492,88.8938,42.5494,23.894,56.5325
N/A,ACIAD1747,lcl|CR543861.1_cds_CAG68587.1_1600,62.0489,129.583,88.2652,39.8809,74.0642,90.0515,248.17,218.164,187.954,105.435,107.022,148.269
N/A,ACIAD1748,lcl|CR543861.1_cds_CAG68588.1_1601,106.397,175.897,155.412,122.094,185.332,237.295,213.952,150.289,184.469,346.196,345.391,247.639
cioB,ACIAD1749,lcl|CR543861.1_cds_CAG68589.1_1602,45.1734,55.3385,52.2705,27.1231,48.8623,55.8503,38.4039,47.9645,45.9931,268.84,244.31,184.485
cioA,ACIAD1750,lcl|CR543861.1_cds_CAG68590.1_1603,19.9887,18.1537,25.4447,18.2108,19.3684,21.2217,16.6046,23.6524,21.0556,133.317,115.044,87.6734
N/A,ACIAD1751,lcl|CR543861.1_cds_CAG68591.1_1604,137.945,443.496,210.878,102.978,402.976,301.364,120.399,84.2374,92.6703,237.441,178.527,289.418
mdcA,ACIAD1753,lcl|CR543861.1_cds_CAG68592.1_1605,8.55658,16.2652,8.61535,7.23513,10.602,7.75709,4.62058,2.69238,4.68465,14.8087,17.9506,15.8097
mdcB,ACIAD1754,lcl|CR543861.1_cds_CAG68593.1_1606,6.42131,4.66506,1.35125,7.33606,6.59871,3.53381,0.0,1.81509,2.37485,7.82762,7.31066,7.74439
mdcC,ACIAD1755,lcl|CR543861.1_cds_CAG68594.1_1607,0.0,18.6478,14.3426,22.6557,36.2053,14.4773,15.8073,9.23661,12.3022,37.4277,43.2435,33.6599
mdcD,ACIAD1756,lcl|CR543861.1_cds_CAG68595.1_1608,31.7918,27.1709,17.5641,9.52728,37.7992,25.8607,15.1578,21.5986,7.71042,55.3352,50.8965,45.6464
mdcE,ACIAD1757,lcl|CR543861.1_cds_CAG68596.1_1609,14.4127,22.9227,13.6513,18.0932,15.884,20.8528,6.97684,8.13411,18.6362,29.9169,31.6434,18.659
mdcG,ACIAD1758,lcl|CR543861.1_cds_CAG68597.1_1610,12.3024,13.744,9.07192,12.226,12.7084,7.46812,5.1691,6.02815,0.0,19.0685,12.2506,12.4613
mdcH,ACIAD1759,lcl|CR543861.1_cds_CAG68598.1_1611,8.95647,17.6472,6.59625,15.7611,11.9629,12.0724,6.08279,3.54554,11.596,21.3925,12.2365,14.5642
mdcL,ACIAD1760,lcl|CR543861.1_cds_CAG68599.1_1612,24.6391,14.0342,20.2161,17.1987,34.2652,8.07184,0.0,15.8151,6.97105,81.1737,65.1231,70.2267
mdcM,ACIAD1761,lcl|CR543861.1_cds_CAG68600.1_1613,21.5079,11.5307,15.0139,5.42062,20.9772,12.0276,7.65911,17.8604,14.6227,40.3099,60.5641,36.7696
mdcR,ACIAD1762,lcl|CR543861.1_cds_CAG68601.1_1614,23.4718,26.3954,19.9462,14.4411,12.9862,14.7772,12.2608,14.2932,16.3622,67.7745,54.4735,56.1767
srpH,ACIAD1763,lcl|CR543861.1_cds_CAG68602.1_1615,57.7918,48.9832,56.7525,60.1557,38.6496,64.492,20.2407,19.966,37.9976,276.785,222.453,242.657
N/A,ACIAD1764,lcl|CR543861.1_cds_CAG68603.1_1616,17.6495,19.5558,16.4788,13.6468,13.8833,16.2152,5.23293,5.42034,4.41812,28.0297,17.7821,30.5509
N/A,ACIAD1765,lcl|CR543861.1_cds_CAG68604.1_1617,10.3386,6.55803,9.84766,5.85343,13.0896,5.24895,2.07464,8.46313,9.47484,9.50539,9.69531,8.95183
